序号,定位时间,接收时间,经度/纬度,速度(km/h),方向,定位类型,上报模式,位置
19,2022-11-19 10:45:12,2022-11-19 10:45:12,116.279413/40.194556,16km/h,正南向(方向数：183),卫星定位,定时上报,"北京市昌平区京密引水渠北路,世纪华联超市南百路店(张各庄北街)北463米"
20,2022-11-19 10:45:20,2022-11-19 10:45:22,116.279493/40.194156,33km/h,正南向(方向数：159),卫星定位,拐点上传,"北京市昌平区X030(南百路),张各庄村北424米"
21,2022-11-19 10:45:30,2022-11-19 10:45:30,116.279911/40.193289,35km/h,正南向(方向数：184),卫星定位,定时上报,"北京市昌平区X030(南百路),世纪华联超市南百路店(张各庄北街)北317米"
22,2022-11-19 10:45:39,2022-11-19 10:45:39,116.279831/40.19264,25km/h,西南向(方向数: 208),卫星定位,拐点上传,"北京市昌平区X030(南百路),世纪华联超市南百路店(张各庄北街)北246米"
23,2022-11-19 10:45:41,2022-11-19 10:45:41,116.279716/40.19256,25km/h,西南向(方向数: 233),卫星定位,拐点上传,"北京市昌平区X030(南百路),世纪华联超市南百路店(张各庄北街)西北240米"
24,2022-11-19 10:45:51,2022-11-19 10:45:53,116.27848/40.192213,46km/h,正西向(方向数：251),卫星定位,定时上报,"北京市昌平区S307(怀昌路),张各庄村西北229米"
25,2022-11-19 10:46:01,2022-11-19 10:46:01,116.276924/40.191858,49km/h,正西向(方向数：253),卫星定位,定时上报,"北京市昌平区S307(怀昌路),张各庄村西北284米"
26,2022-11-19 10:46:11,2022-11-19 10:46:11,116.275378/40.191458,47km/h,正西向(方向数：249),卫星定位,定时上报,"北京市昌平区S307(怀昌路),张各庄村西北381米"
27,2022-11-19 10:46:21,2022-11-19 10:46:22,116.273813/40.191049,50km/h,正西向(方向数：253),卫星定位,定时上报,"北京市昌平区S307(怀昌路),南邵工业区东北370米"
28,2022-11-19 10:46:31,2022-11-19 10:46:31,116.272347/40.190667,43km/h,正西向(方向数：251),卫星定位,定时上报,"北京市昌平区S307(怀昌路),南邵工业区北321米"
29,2022-11-19 10:46:41,2022-11-19 10:46:41,116.27088/40.19028,49km/h,正西向(方向数：251),卫星定位,定时上报,"北京市昌平区S307(怀昌路),南邵工业区西北322米"
30,2022-11-19 10:46:51,2022-11-19 10:46:51,116.269333/40.190049,44km/h,正西向(方向数：264),卫星定位,定时上报,"北京市昌平区S307(怀昌路),金科廊桥河谷公园东南235米"
31,2022-11-19 10:47:01,2022-11-19 10:47:10,116.268/40.190084,30km/h,正西向(方向数：283),卫星定位,定时上报,"北京市昌平区S307(怀昌路),金科廊桥河谷公园东南172米"
32,2022-11-19 10:47:11,2022-11-19 10:48:05,116.26712/40.190164,26km/h,正西向(方向数：269),卫星定位,定时上报,"北京市昌平区S307(怀昌路),金科廊桥河谷公园南156米"
33,2022-11-19 10:47:21,2022-11-19 10:48:07,116.266098/40.190142,35km/h,正西向(方向数：268),卫星定位,定时上报,"北京市昌平区S307(怀昌路),金科廊桥河谷公园西南191米"
34,2022-11-19 10:47:31,2022-11-19 10:48:07,116.264764/40.190182,42km/h,正西向(方向数：273),卫星定位,定时上报,"北京市昌平区S307(怀昌路),金科廊桥河谷公园西南269米"
35,2022-11-19 10:47:41,2022-11-19 10:48:07,116.263316/40.190262,44km/h,正西向(方向数：274),卫星定位,定时上报,"北京市昌平区S307(怀昌路),金科廊桥河谷公园西南373米"
36,2022-11-19 10:47:51,2022-11-19 10:48:07,116.261653/40.190329,51km/h,正西向(方向数：274),卫星定位,定时上报,"北京市昌平区S307(怀昌路),景文屯村南405米"
37,2022-11-19 10:48:01,2022-11-19 10:48:07,116.259867/40.190391,54km/h,正西向(方向数：273),卫星定位,定时上报,"北京市昌平区S307(怀昌路),景文屯村西南433米"
38,2022-11-19 10:48:11,2022-11-19 10:48:32,116.258027/40.190484,56km/h,正西向(方向数：275),卫星定位,定时上报,"北京市昌平区S307(怀昌路),景文屯村西南506米"
39,2022-11-19 10:48:21,2022-11-19 10:49:41,116.256133/40.19056,57km/h,正西向(方向数：273),卫星定位,定时上报,"北京市昌平区S307(怀昌路),景文屯村西南616米"
40,2022-11-19 10:48:31,2022-11-19 10:49:41,116.254249/40.190649,56km/h,正西向(方向数：276),卫星定位,定时上报,"北京市昌平区S307(怀昌路),北京市私立汇佳学校东南741米"
41,2022-11-19 10:48:41,2022-11-19 10:49:42,116.252453/40.190729,53km/h,正西向(方向数：271),卫星定位,定时上报,"北京市昌平区S307(怀昌路),北京市私立汇佳学校东南592米"
42,2022-11-19 10:48:51,2022-11-19 10:49:42,116.250844/40.190636,48km/h,正西向(方向数：258),卫星定位,定时上报,"北京市昌平区S307(怀昌路),北京市私立汇佳学校东南464米"
43,2022-11-19 10:49:01,2022-11-19 10:49:42,116.249253/40.190596,50km/h,正西向(方向数：270),卫星定位,定时上报,"北京市昌平区S307(怀昌路),联合创新创业基地东南163米"
44,2022-11-19 10:49:11,2022-11-19 10:49:42,116.247529/40.190604,52km/h,正西向(方向数：270),卫星定位,定时上报,"北京市昌平区S307(怀昌路),北京市私立汇佳学校东南223米"
45,2022-11-19 10:49:21,2022-11-19 10:49:42,116.245778/40.190618,53km/h,正西向(方向数：271),卫星定位,定时上报,"北京市昌平区昌怀路157号,北京市私立汇佳学校南156米"
46,2022-11-19 10:49:31,2022-11-19 10:49:42,116.244027/40.190622,53km/h,正西向(方向数：270),卫星定位,定时上报,"北京市昌平区S307(怀昌路),北京市私立汇佳学校西南207米"
47,2022-11-19 10:49:41,2022-11-19 10:49:42,116.242284/40.190618,51km/h,正西向(方向数：267),卫星定位,定时上报,"北京市昌平区S307(怀昌路),北京汇佳职业学院东南443米"
48,2022-11-19 10:49:51,2022-11-19 10:49:51,116.24064/40.190613,49km/h,正西向(方向数：269),卫星定位,定时上报,"北京市昌平区S307(怀昌路),汇佳高尔夫球馆西南79米"
49,2022-11-19 10:50:01,2022-11-19 10:50:31,116.239084/40.190609,47km/h,正西向(方向数：270),卫星定位,定时上报,"北京市昌平区S307(怀昌路),汇佳高尔夫球馆西南171米"
50,2022-11-19 10:50:11,2022-11-19 10:50:32,116.237538/40.190622,46km/h,正西向(方向数：271),卫星定位,定时上报,"北京市昌平区S307(怀昌路),北京汇佳职业学院南226米"
51,2022-11-19 10:50:21,2022-11-19 10:50:32,116.236169/40.190609,42km/h,正西向(方向数：269),卫星定位,定时上报,"北京市昌平区S307(怀昌路),北京汇佳职业学院西南263米"
52,2022-11-19 10:50:31,2022-11-19 10:50:32,116.234844/40.190613,35km/h,正西向(方向数：273),卫星定位,定时上报,"北京市昌平区创新路20号,汇佳男子高中西南82米"
53,2022-11-19 10:52:01,2022-11-19 10:52:02,116.234391/40.190573,18km/h,正西向(方向数：258),卫星定位,定时上报,"北京市昌平区S307(怀昌路),汇佳男子高中西南101米"
54,2022-11-19 10:52:11,2022-11-19 10:52:12,116.233236/40.190467,44km/h,正西向(方向数：262),卫星定位,定时上报,"北京市昌平区S307(怀昌路),汇佳男子高中西南181米"
55,2022-11-19 10:52:21,2022-11-19 10:53:01,116.231662/40.190084,50km/h,正西向(方向数：248),卫星定位,定时上报,"北京市昌平区S307(怀昌路),汇佳男子高中西南319米"
56,2022-11-19 10:52:31,2022-11-19 10:53:02,116.230062/40.189653,51km/h,正西向(方向数：248),卫星定位,定时上报,"北京市昌平区S307(怀昌路),中关村生命科学园留学人员创业园分园东南341米"
57,2022-11-19 10:52:41,2022-11-19 10:53:02,116.228382/40.189142,54km/h,正西向(方向数：249),卫星定位,定时上报,"北京市昌平区S216(白浮东桥),中关村生命科学园留学人员创业园分园西南401米"
58,2022-11-19 10:52:51,2022-11-19 10:53:02,116.226738/40.188644,53km/h,正西向(方向数：249),卫星定位,定时上报,"北京市昌平区S307(怀昌路),京密引水渠东北368米"
59,2022-11-19 10:53:01,2022-11-19 10:53:02,116.225298/40.188329,44km/h,正西向(方向数：255),卫星定位,定时上报,"北京市昌平区S307(怀昌路),京密引水渠东241米"
60,2022-11-19 10:53:11,2022-11-19 10:53:12,116.223636/40.188244,58km/h,正西向(方向数：269),卫星定位,定时上报,"北京市昌平区X017(怀昌路),京密引水渠东北101米"
61,2022-11-19 10:53:21,2022-11-19 10:53:22,116.221724/40.188253,54km/h,正西向(方向数：270),卫星定位,定时上报,"北京市昌平区X017(怀昌路),京密引水渠西北68米"
62,2022-11-19 10:53:31,2022-11-19 10:53:39,116.219929/40.188267,56km/h,正西向(方向数：269),卫星定位,定时上报,"北京市昌平区X017(怀昌路),水屯装饰石材城东南88米"
63,2022-11-19 10:53:41,2022-11-19 10:53:41,116.218036/40.188276,56km/h,正西向(方向数：269),卫星定位,定时上报,"北京市昌平区X017(怀昌路),水屯装饰石材城西南84米"
64,2022-11-19 10:53:51,2022-11-19 10:53:51,116.216107/40.18828,57km/h,正西向(方向数：270),卫星定位,定时上报,"北京市昌平区前进路18号,水屯装饰石材城西243米"
65,2022-11-19 10:54:01,2022-11-19 10:54:01,116.214222/40.188298,57km/h,正西向(方向数：270),卫星定位,定时上报,"北京市昌平区X017(怀昌路),水屯装饰石材城西402米"
66,2022-11-19 10:54:11,2022-11-19 10:54:23,116.212276/40.188302,61km/h,正西向(方向数：270),卫星定位,定时上报,"北京市昌平区X017(怀昌路),九牧林氏市场办公楼西南535米"
67,2022-11-19 10:54:21,2022-11-19 10:54:23,116.210276/40.188289,59km/h,正西向(方向数：271),卫星定位,定时上报,"北京市昌平区X017(怀昌路),马池口小学北591米"
68,2022-11-19 10:54:31,2022-11-19 10:54:31,116.208409/40.188284,52km/h,正西向(方向数：271),卫星定位,定时上报,"北京市昌平区X017(怀昌路),马池口小学北592米"
69,2022-11-19 10:54:41,2022-11-19 10:54:41,116.206933/40.188347,34km/h,正西向(方向数：286),卫星定位,定时上报,"北京市昌平区怀昌路,北京国马印刷厂东南546米"
70,2022-11-19 10:54:51,2022-11-19 10:54:52,116.206036/40.188564,31km/h,正西向(方向数：289),卫星定位,定时上报,"北京市昌平区怀昌路,北京国马印刷厂东南466米"
71,2022-11-19 10:55:01,2022-11-19 10:55:01,116.205031/40.188836,36km/h,正西向(方向数：289),卫星定位,定时上报,"北京市昌平区X017(昌流路),北京国马印刷厂东南375米"
72,2022-11-19 10:55:11,2022-11-19 10:55:20,116.2036/40.189231,43km/h,正西向(方向数：290),卫星定位,定时上报,"北京市昌平区G7(京新高速),北京国马印刷厂东南246米"
73,2022-11-19 10:55:21,2022-11-19 10:55:22,116.202107/40.189716,47km/h,正西向(方向数：291),卫星定位,定时上报,"北京市昌平区X017(昌流路),北京国马印刷厂东南107米"
74,2022-11-19 10:55:31,2022-11-19 10:55:32,116.20088/40.190102,28km/h,正西向(方向数：277),卫星定位,定时上报,"北京市昌平区X017(昌流路),北京国马印刷厂西北7米"
75,2022-11-19 10:55:41,2022-11-19 10:55:45,116.199902/40.190244,34km/h,正西向(方向数：279),卫星定位,定时上报,"北京市昌平区X017(昌流路),北京美亚斯磷脂技术有限公司东61米"
76,2022-11-19 10:55:51,2022-11-19 10:55:52,116.198711/40.190351,27km/h,正西向(方向数：270),卫星定位,定时上报,"北京市昌平区X017(昌流路),北京美亚斯磷脂技术有限公司西北42米"
77,2022-11-19 10:56:01,2022-11-19 10:56:02,116.197822/40.190311,22km/h,正西向(方向数：269),卫星定位,定时上报,"北京市昌平区X017(昌流路),宏道村东南40米"
78,2022-11-19 10:56:11,2022-11-19 10:56:12,116.19688/40.190222,36km/h,正西向(方向数：262),卫星定位,定时上报,"北京市昌平区X017(昌流路),宏道村西南50米"
79,2022-11-19 10:56:21,2022-11-19 10:56:22,116.195787/40.190116,36km/h,正西向(方向数：261),卫星定位,定时上报,"北京市昌平区X017(昌流路),宏道村西南140米"
80,2022-11-19 10:56:31,2022-11-19 10:56:32,116.194533/40.189982,38km/h,正西向(方向数：264),卫星定位,定时上报,"北京市昌平区X017(昌流路),马池口中学西南131米"
81,2022-11-19 10:56:41,2022-11-19 10:56:42,116.193671/40.189876,11km/h,正西向(方向数：252),卫星定位,定时上报,"北京市昌平区X017(昌流路),马池口中学西南182米"
82,2022-11-19 10:56:46,2022-11-19 10:56:47,116.193618/40.189733,15km/h,东南向(方向数：156),卫星定位,拐点上传,"北京市昌平区X017(昌流路),瑞元国际花园东北185米"
83,2022-11-19 10:56:56,2022-11-19 10:57:01,116.194062/40.188907,34km/h,正南向(方向数：164),卫星定位,定时上报,"北京市昌平区X017(昌流路),新世纪纳米塑胶材料公司西235米"
84,2022-11-19 10:57:06,2022-11-19 10:57:06,116.194596/40.187929,50km/h,正南向(方向数：162),卫星定位,定时上报,"北京市昌平区X017(昌流路),新世纪纳米塑胶材料公司西南224米"
85,2022-11-19 10:57:16,2022-11-19 10:57:16,116.1952/40.1868,48km/h,正南向(方向数：158),卫星定位,定时上报,"北京市昌平区,新世纪纳米塑胶材料公司西南281米"
86,2022-11-19 10:57:26,2022-11-19 10:57:27,116.195813/40.185676,47km/h,正南向(方向数：160),卫星定位,定时上报,"北京市昌平区,下念头村东北385米"
87,2022-11-19 10:57:33,2022-11-19 10:57:33,116.196071/40.184973,37km/h,正南向(方向数：195),卫星定位,拐点上传,"北京市昌平区,下念头村东392米"
88,2022-11-19 10:57:35,2022-11-19 10:57:36,116.195929/40.184809,39km/h,西南向(方向数: 227),卫星定位,拐点上传,"北京市昌平区,下念头村东379米"
89,2022-11-19 10:57:37,2022-11-19 10:57:41,116.195689/40.184716,44km/h,正西向(方向数：250),卫星定位,拐点上传,"北京市昌平区,下念头村东359米"
90,2022-11-19 10:57:47,2022-11-19 10:57:47,116.194729/40.184449,20km/h,西南向(方向数: 245),卫星定位,定时上报,"北京市昌平区,下念头村东278米"
91,2022-11-19 10:57:57,2022-11-19 10:57:57,116.193778/40.184124,37km/h,正西向(方向数：248),卫星定位,定时上报,"北京市昌平区,下念头村东南205米"
92,2022-11-19 10:58:07,2022-11-19 10:58:07,116.192676/40.18376,35km/h,西南向(方向数: 247),卫星定位,定时上报,"北京市昌平区,下念头村东南141米"
93,2022-11-19 10:58:11,2022-11-19 10:58:12,116.192311/40.183707,22km/h,正西向(方向数：285),卫星定位,拐点上传,"北京市昌平区X017(昌流路),下念头村东南125米"
94,2022-11-19 10:58:13,2022-11-19 10:58:13,116.192169/40.183773,26km/h,西北向(方向数：315),卫星定位,拐点上传,"北京市昌平区X017(昌流路),下念头村东南112米"
95,2022-11-19 10:58:16,2022-11-19 10:58:16,116.192009/40.183973,30km/h,西北向(方向数：337),卫星定位,拐点上传,"北京市昌平区X017(昌流路),下念头村东南86米"
96,2022-11-19 10:58:26,2022-11-19 10:58:27,116.191636/40.184573,29km/h,西北向(方向数：328),卫星定位,定时上报,"北京市昌平区X017(昌流路),下念头村东南14米"
97,2022-11-19 10:58:36,2022-11-19 10:58:36,116.191049/40.18508,24km/h,西北向(方向数：312),卫星定位,定时上报,"北京市昌平区X017(昌流路),下念头村西北64米"
98,2022-11-19 10:58:40,2022-11-19 10:58:41,116.190818/40.185209,21km/h,正西向(方向数：288),卫星定位,拐点上传,"北京市昌平区X017(昌流路),下念头村西北88米"
99,2022-11-19 10:58:42,2022-11-19 10:58:44,116.190676/40.185213,23km/h,正西向(方向数：256),卫星定位,拐点上传,"北京市昌平区X017(昌流路),下念头村西北96米"
100,2022-11-19 10:58:47,2022-11-19 10:58:47,116.190364/40.185147,19km/h,正西向(方向数：284),卫星定位,拐点上传,"北京市昌平区X017(昌流路),下念头村西北113米"
101,2022-11-19 10:58:49,2022-11-19 10:58:50,116.190258/40.185187,20km/h,西北向(方向数：312),卫星定位,拐点上传,"北京市昌平区X017(昌流路),下念头村西北123米"
102,2022-11-19 10:58:54,2022-11-19 10:58:55,116.190027/40.185476,28km/h,西北向(方向数：334),卫星定位,拐点上传,"北京市昌平区X017(昌流路),昌平站东南372米"
103,2022-11-19 10:59:04,2022-11-19 10:59:05,116.189564/40.186093,23km/h,西北向(方向数：321),卫星定位,定时上报,"北京市昌平区X017(昌流路),昌平站东南292米"
104,2022-11-19 10:59:07,2022-11-19 10:59:08,116.189369/40.186204,26km/h,西北向(方向数：294),卫星定位,拐点上传,"北京市昌平区X017(昌流路),昌平站东南273米"
105,2022-11-19 10:59:11,2022-11-19 10:59:11,116.189049/40.186244,23km/h,正西向(方向数：269),卫星定位,拐点上传,"北京市昌平区X017(昌流路),昌平站东南256米"
106,2022-11-19 10:59:21,2022-11-19 10:59:21,116.188213/40.186213,31km/h,正西向(方向数：252),卫星定位,定时上报,"北京市昌平区X017(昌流路),昌平站南240米"
107,2022-11-19 10:59:31,2022-11-19 10:59:39,116.187298/40.185947,27km/h,正西向(方向数：250),卫星定位,定时上报,"北京市昌平区X017(昌流路),昌平站西南270米"
108,2022-11-19 10:59:41,2022-11-19 10:59:45,116.186436/40.185684,31km/h,正西向(方向数：250),卫星定位,定时上报,"北京市昌平区X017(昌流路),桥梁厂小区东北84米"
109,2022-11-19 10:59:51,2022-11-19 10:59:51,116.185431/40.185444,33km/h,正西向(方向数：253),卫星定位,定时上报,"北京市昌平区X017(昌流路),桥梁厂小区北32米"
110,2022-11-19 11:00:01,2022-11-19 11:00:01,116.184471/40.185138,32km/h,正西向(方向数：249),卫星定位,定时上报,"北京市昌平区X017(昌流路),桥梁厂小区西97米"
111,2022-11-19 11:00:11,2022-11-19 11:00:11,116.183467/40.18488,29km/h,正西向(方向数：249),卫星定位,定时上报,"北京市昌平区X017(昌流路),桥梁厂小区西165米"
112,2022-11-19 11:00:21,2022-11-19 11:00:21,116.182356/40.184649,36km/h,正西向(方向数：250),卫星定位,定时上报,"北京市昌平区X017(昌流路),北京首钢红冶钢厂东243米"
113,2022-11-19 11:00:31,2022-11-19 11:00:32,116.18128/40.184476,17km/h,正西向(方向数：250),卫星定位,定时上报,"北京市昌平区X017(昌流路),北京首钢红冶钢厂东151米"
114,2022-11-19 11:00:41,2022-11-19 11:00:42,116.180747/40.184373,25km/h,正西向(方向数：248),卫星定位,定时上报,"北京市昌平区X017(昌流路),北京首钢红冶钢厂东106米"
115,2022-11-19 11:00:51,2022-11-19 11:00:51,116.179849/40.18416,35km/h,正西向(方向数：250),卫星定位,定时上报,"北京市昌平区X017(昌流路),北京首钢红冶钢厂东南45米"
116,2022-11-19 11:01:01,2022-11-19 11:01:01,116.178631/40.183902,35km/h,正西向(方向数：250),卫星定位,定时上报,"北京市昌平区X017(昌流路),红冶小区东南98米"
117,2022-11-19 11:01:11,2022-11-19 11:01:13,116.177502/40.183671,37km/h,正西向(方向数：253),卫星定位,定时上报,"北京市昌平区X017(昌流路),红冶小区西南130米"
118,2022-11-19 11:01:21,2022-11-19 11:01:22,116.176204/40.183422,40km/h,正西向(方向数：253),卫星定位,定时上报,"北京市昌平区X017(昌流路),小营东桥东143米"
119,2022-11-19 11:01:31,2022-11-19 11:01:31,116.175049/40.183173,34km/h,正西向(方向数：256),卫星定位,定时上报,"北京市昌平区X017(昌流路),小营东桥东43米"
120,2022-11-19 11:01:41,2022-11-19 11:01:41,116.173796/40.182916,41km/h,正西向(方向数：252),卫星定位,定时上报,"北京市昌平区X017(昌流路),小营东桥西南70米"
121,2022-11-19 11:01:51,2022-11-19 11:01:51,116.172382/40.182627,46km/h,正西向(方向数：254),卫星定位,定时上报,"北京市昌平区X017(昌流路),北京市昌平启盼幼儿园西南140米"
122,2022-11-19 11:02:01,2022-11-19 11:02:01,116.170933/40.182311,45km/h,正西向(方向数：252),卫星定位,定时上报,"北京市昌平区X017(昌流路),北京市昌平启盼幼儿园西南253米"
123,2022-11-19 11:02:11,2022-11-19 11:02:12,116.169387/40.181956,53km/h,正西向(方向数：250),卫星定位,定时上报,"北京市昌平区X017(昌流路),东联哈尔仪器制造公司东北355米"
124,2022-11-19 11:02:21,2022-11-19 11:02:22,116.167547/40.181529,63km/h,正西向(方向数：254),卫星定位,定时上报,"北京市昌平区X017(昌流路),东联哈尔仪器制造公司东北193米"
125,2022-11-19 11:02:31,2022-11-19 11:02:32,116.165556/40.181067,58km/h,正西向(方向数：251),卫星定位,定时上报,"北京市昌平区X017(昌流路),东联哈尔仪器制造公司东北20米"
126,2022-11-19 11:02:41,2022-11-19 11:02:41,116.164107/40.180742,39km/h,正西向(方向数：255),卫星定位,定时上报,"北京市昌平区X017(昌流路),马池口镇东南158米"
127,2022-11-19 11:02:51,2022-11-19 11:02:52,116.163084/40.180471,31km/h,西南向(方向数: 215),卫星定位,定时上报,"北京市昌平区神牛路,马池口镇东南117米"
128,2022-11-19 11:02:52,2022-11-19 11:02:55,116.16304/40.1804,34km/h,正南向(方向数：193),卫星定位,拐点上传,"北京市昌平区神牛路,马池口镇东南122米"
129,2022-11-19 11:02:55,2022-11-19 11:02:56,116.16304/40.180142,38km/h,正南向(方向数：171),卫星定位,拐点上传,"北京市昌平区神牛路,马池口镇东南149米"
130,2022-11-19 11:03:05,2022-11-19 11:03:09,116.163298/40.178951,52km/h,正南向(方向数：171),卫星定位,定时上报,"北京市昌平区神牛路,北京吉利大学-东门东北73米"
131,2022-11-19 11:03:15,2022-11-19 11:03:16,116.163547/40.177591,52km/h,正南向(方向数：172),卫星定位,定时上报,"北京市昌平区神牛路,吉利汽车-北京吉利大学展馆东南44米"
132,2022-11-19 11:03:25,2022-11-19 11:03:43,116.163733/40.176356,51km/h,正南向(方向数：171),卫星定位,定时上报,"北京市昌平区神牛路,北京吉利大学-东2门东南21米"
133,2022-11-19 11:03:35,2022-11-19 11:03:45,116.163929/40.17504,54km/h,正南向(方向数：175),卫星定位,定时上报,"北京市昌平区神牛路,北京吉利学院-东2门东南157米"
134,2022-11-19 11:03:45,2022-11-19 11:03:46,116.16416/40.173671,55km/h,正南向(方向数：172),卫星定位,定时上报,"北京市昌平区神牛路,北京吉利大学-风雨操场东北228米"
135,2022-11-19 11:03:55,2022-11-19 11:03:56,116.164409/40.172289,55km/h,正南向(方向数：172),卫星定位,定时上报,"北京市昌平区神牛路,北京吉利大学-风雨操场东176米"
136,2022-11-19 11:04:05,2022-11-19 11:04:06,116.164667/40.17088,58km/h,正南向(方向数：173),卫星定位,定时上报,"北京市昌平区神牛路,北京吉利大学-风雨操场东南244米"
137,2022-11-19 11:04:15,2022-11-19 11:04:16,116.164924/40.16944,56km/h,正南向(方向数：171),卫星定位,定时上报,"北京市昌平区神牛路,北京吉利大学-风雨操场东南374米"
138,2022-11-19 11:04:25,2022-11-19 11:04:25,116.165084/40.168196,39km/h,正南向(方向数：173),卫星定位,定时上报,"北京市昌平区神牛路,鹿场桥西北408米"
139,2022-11-19 11:04:35,2022-11-19 11:04:35,116.165271/40.167307,20km/h,正南向(方向数：166),卫星定位,定时上报,"北京市昌平区神牛路,鹿场桥西北334米"
140,2022-11-19 11:05:15,2022-11-19 11:05:15,116.165333/40.167191,15km/h,东南向(方向数：154),卫星定位,定时上报,"北京市昌平区神牛路,鹿场桥西北323米"
141,2022-11-19 11:05:19,2022-11-19 11:05:20,116.1656/40.16692,36km/h,东南向(方向数：129),卫星定位,拐点上传,"北京市昌平区神牛路,鹿场桥西北288米"
142,2022-11-19 11:05:29,2022-11-19 11:05:30,116.166764/40.166178,37km/h,东南向(方向数：132),卫星定位,定时上报,"北京市昌平区S321(顺沙路),鹿场桥西北164米"
143,2022-11-19 11:05:31,2022-11-19 11:05:32,116.166889/40.16604,26km/h,正南向(方向数：166),卫星定位,拐点上传,"北京市昌平区S321(顺沙路),鹿场桥西北149米"
144,2022-11-19 11:05:33,2022-11-19 11:05:34,116.166889/40.165933,20km/h,正南向(方向数：189),卫星定位,拐点上传,"北京市昌平区S321(顺沙路),鹿场桥西147米"
145,2022-11-19 11:05:43,2022-11-19 11:05:44,116.166747/40.165387,22km/h,正南向(方向数：184),卫星定位,定时上报,"北京市昌平区怀昌路,鹿场桥西南161米"
146,2022-11-19 11:05:53,2022-11-19 11:05:54,116.166649/40.16484,31km/h,正南向(方向数：196),卫星定位,定时上报,"北京市昌平区怀昌路,鹿场桥西南191米"
147,2022-11-19 11:05:58,2022-11-19 11:05:58,116.166373/40.164396,25km/h,西南向(方向数: 247),卫星定位,拐点上传,"北京市昌平区怀昌路,鹿场桥西南238米"
148,2022-11-19 11:06:01,2022-11-19 11:06:02,116.166142/40.164356,21km/h,正西向(方向数：269),卫星定位,拐点上传,"北京市昌平区怀昌路,鹿场桥西南256米"
